material_id,formula_pretty,nsites,energy_per_atom,formation_energy_per_atom
mp-1184905,K,20,-1.110398947,0.0
mp-1187073,Sr,3,-1.6894934533333332,0.0
mp-13,Fe,1,-8.47000845,0.0
mp-81,Au,1,-3.27388154,0.0
mp-570481,Se,64,-3.49591147765625,0.0
mp-23,Ni,1,-5.78013668,0.0
mp-23152,Bi,2,-3.89003431,0.0
mp-111,Ne,1,-0.02593678,0.0
mp-972351,Tl,3,-2.3626431466666666,0.0
mp-19,Te,3,-3.14330093,0.0
mp-32,Ge,2,-4.623027855,0.0
mp-1179656,Rb,8,-0.9805340725,0.0
mp-79,Zn,2,-1.25974361,0.0
mp-569304,C,4,-9.2267807,0.0
mp-1008394,Cl2,4,-1.84853666,0.0
mp-155,Gd,2,-14.07612224,0.0
mp-37,Th,1,-7.41385825,0.0
mp-101,Ir,1,-8.83843042,0.0
mp-113,Tc,2,-10.36061991,0.0
mp-972364,Yb,3,-1.5396082800000002,0.0
mp-612118,Kr,1,-0.05671467,0.0
mp-1198724,P,42,-5.413302506666667,0.0
mp-117,Sn,2,-4.009571855,0.0
mp-1184151,Cs,29,-0.8954023720689656,0.0
mp-1018134,Li,3,-1.9089228666666667,0.0
mp-45,Ca,1,-2.00559988,0.0
mp-561203,F2,4,-1.9114789675,0.0
mp-862690,Ac,4,-4.1211750075,0.0
mp-867200,Pm,4,-4.7505423225,0.0
mp-8,Re,2,-12.444527185,0.0
mp-25,N2,8,-8.336494925,0.0
mp-1184115,Er,3,-4.56771881,0.0
mp-10658,Dy,3,-4.60678684,0.0
mp-104,Sb,2,-4.12900124,0.0
mp-75,Nb,1,-10.10130504,0.0
mp-44,U,2,-11.29141001,0.0
mp-12957,O2,8,-4.947961005,0.0
mp-72,Ti,3,-7.895492016666666,0.0
mp-972256,Xe,1,-0.03617417,0.0
mp-1184502,In,3,-2.75168373,0.0
mp-129,Mo,1,-10.84564303,0.0
mp-160,B,12,-6.679391770833334,0.0
mp-122,Ba,1,-1.91897083,0.0
mp-1186081,Na,29,-1.3225252934482759,0.0
mp-1187739,Y,3,-6.466471113333333,0.0
mp-87,Be,2,-3.739412865,0.0
mp-142,Ga,4,-3.0280960225,0.0
mp-11698,Tb,3,-4.6343661,0.0
mp-149,Si,2,-5.42531402,0.0
mp-33,Ru,2,-9.274389655,0.0
mp-91,W,1,-12.95812647,0.0
mp-23158,He,1,-0.00905916,0.0
mp-30,Cu,1,-4.09920667,0.0
mp-131,Zr,2,-8.54770063,0.0
mp-1056702,Mg,1,-1.60028005,0.0
mp-90,Cr,2,-9.65304747,0.0
mp-126,Pt,1,-6.07090771,0.0
mp-74,Rh,1,-7.36430787,0.0
mp-67,Sc,2,-6.332469105,0.0
mp-35,Mn,29,-9.162015292068965,0.0
mp-989737,Ag,3,-2.8325560033333335,0.0
mp-11,As,2,-4.659118405,0.0
mp-49,Os,2,-11.227366255,0.0
mp-24504,H2,4,-3.392726045,0.0
mp-145,Lu,2,-4.52095052,0.0
mp-123,Nd,4,-4.76814321,0.0
mp-38,Pr,4,-4.780899145,0.0
mp-10659,Ho,3,-4.58240887,0.0
mp-23155,Ar,1,-0.06880822,0.0
mp-20483,Pb,1,-3.71264707,0.0
mp-23154,Br,4,-1.6369328925,0.0
mp-23153,I,4,-1.524012615,0.0
mp-146,V,1,-9.08390607,0.0
mp-26,La,4,-4.936007105,0.0
mp-1096861,Cd,1,-0.92288976,0.0
mp-11534,Np,8,-12.94777968125,0.0
mp-134,Al,1,-3.74557583,0.0
mp-54,Co,2,-7.108317795,0.0
mp-50,Ta,1,-11.85777763,0.0
mp-10740,Pa,1,-9.51466466,0.0
mp-2,Pd,1,-5.17988181,0.0
mp-103,Hf,2,-9.95718885,0.0
mp-571261,Pu,2,-14.26783833,0.0
mp-96,S,32,-4.136449866875,0.0
mp-69,Sm,4,-4.718586135,0.0
mp-1057315,Eu,2,-10.292043475,0.0
mp-1184554,Hg,2,-0.303680365,0.0
mp-567332,Ce,2,-5.933089155,0.0
